                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3035,                 3.4001,                 1.8113,                0.52324,                0.62619,                  0.592,                0.30459,                 1.5211,                 2.7499,                 2.1949,              0.0033254,              0.0033254,              0.0033254
                      2,                   1.19,                 2.2672,                 1.6966,                0.40106,                0.44662,                0.38134,                0.14805,                  1.864,                 2.4031,                 2.5709,              0.0065928,              0.0065928,              0.0065928
                      3,                 1.2523,                 1.9192,                 1.7516,                0.36607,                0.50737,                0.37895,                0.15654,                 1.8485,                 2.2464,                 2.5309,              0.0097942,              0.0097942,              0.0097942
                      4,                 1.3266,                 1.8706,                 1.8099,                0.44837,                0.35818,                0.36285,                0.14978,                 1.9359,                 2.2997,                 2.5501,               0.009703,               0.009703,               0.009703
                      5,                 1.2847,                 1.7115,                 1.7669,                0.53575,                0.53755,                0.55081,                0.25026,                 1.7936,                 1.8865,                 2.4779,               0.009604,               0.009604,               0.009604
                      6,                 1.2262,                 1.5816,                 1.7097,                0.62319,                0.56708,                0.63332,                0.31314,                 1.6899,                 1.6408,                 2.3492,               0.009505,               0.009505,               0.009505
                      7,                 1.1857,                 1.4838,                 1.6848,                0.54196,                0.58262,                0.56944,                0.29358,                 1.6125,                 1.6448,                 2.2768,               0.009406,               0.009406,               0.009406
                      8,                 1.1264,                 1.3778,                 1.6255,                0.68247,                  0.671,                0.71248,                0.38471,                 1.5471,                 1.3532,                 2.2041,               0.009307,               0.009307,               0.009307
                      9,                 1.1049,                 1.3217,                 1.6058,                0.67638,                0.72126,                0.75586,                0.41385,                 1.4933,                  1.302,                 2.1877,               0.009208,               0.009208,               0.009208
                     10,                 1.0741,                 1.2705,                  1.583,                0.64289,                0.62029,                0.68094,                0.35274,                  1.587,                 1.5209,                 2.2367,               0.009109,               0.009109,               0.009109
                     11,                 1.0542,                 1.2071,                 1.5553,                0.70306,                0.68775,                0.75859,                0.44365,                 1.4336,                 1.2818,                 2.1312,                0.00901,                0.00901,                0.00901
                     12,                 1.0286,                 1.1655,                 1.5486,                0.72853,                0.72371,                0.78444,                0.46817,                 1.4066,                 1.1858,                 2.0671,               0.008911,               0.008911,               0.008911
                     13,                 1.0173,                 1.1427,                 1.5228,                0.71099,                0.71205,                0.78047,                0.45998,                  1.409,                 1.2161,                 2.0774,               0.008812,               0.008812,               0.008812
                     14,                0.99358,                  1.122,                 1.5115,                 0.7791,                0.73865,                0.82448,                0.47695,                 1.4352,                 1.0886,                 2.0998,               0.008713,               0.008713,               0.008713
                     15,                0.99051,                 1.0876,                 1.5013,                0.75227,                0.76167,                0.83783,                 0.5085,                 1.3705,                  1.056,                 2.0336,               0.008614,               0.008614,               0.008614
                     16,                0.94837,                 1.0363,                 1.4838,                0.78093,                0.78051,                0.86125,                0.54708,                 1.3026,                0.97552,                 1.9725,               0.008515,               0.008515,               0.008515
                     17,                0.93351,                 1.0131,                 1.4618,                 0.7874,                0.76294,                0.86531,                0.54185,                  1.311,                0.99321,                 2.0067,               0.008416,               0.008416,               0.008416
                     18,                0.91794,                0.98118,                 1.4478,                0.83148,                0.79658,                0.88356,                0.56953,                 1.2626,                0.91418,                 1.9259,               0.008317,               0.008317,               0.008317
                     19,                0.90332,                0.96112,                 1.4346,                0.84231,                0.77744,                0.88107,                0.56589,                 1.2774,                0.95866,                 1.9141,               0.008218,               0.008218,               0.008218
                     20,                0.90848,                0.95493,                 1.4421,                0.83254,                0.80516,                0.89388,                0.57515,                 1.2585,                 0.8809,                 1.8994,               0.008119,               0.008119,               0.008119
                     21,                0.89271,                0.93278,                 1.4239,                0.82786,                0.80791,                0.90361,                0.58963,                 1.2672,                0.88804,                 1.9116,                0.00802,                0.00802,                0.00802
                     22,                 0.8759,                0.92441,                 1.4149,                0.83086,                0.83363,                0.90466,                0.59312,                 1.2288,                0.84677,                 1.8785,               0.007921,               0.007921,               0.007921
                     23,                0.85584,                0.87831,                  1.395,                0.83869,                0.81436,                0.89587,                0.58866,                 1.2041,                0.88912,                 1.8915,               0.007822,               0.007822,               0.007822
                     24,                0.85445,                0.89264,                 1.3981,                 0.8617,                0.85992,                0.92211,                0.63268,                 1.1549,                0.76534,                 1.8159,               0.007723,               0.007723,               0.007723
                     25,                0.83788,                0.85967,                 1.3793,                 0.8754,                0.84726,                0.93134,                0.63939,                 1.1423,                0.76878,                 1.7784,               0.007624,               0.007624,               0.007624
                     26,                0.82716,                0.86454,                 1.3755,                0.87812,                 0.8308,                0.92238,                0.62167,                 1.1718,                0.78361,                 1.8435,               0.007525,               0.007525,               0.007525
                     27,                0.82056,                0.83466,                 1.3674,                0.86703,                0.83615,                0.92179,                0.61765,                 1.1773,                 0.7904,                  1.827,               0.007426,               0.007426,               0.007426
                     28,                0.81204,                0.81919,                 1.3601,                0.87847,                 0.8701,                0.93698,                0.63459,                  1.145,                0.73763,                 1.7995,               0.007327,               0.007327,               0.007327
                     29,                0.79827,                0.81151,                 1.3545,                0.87116,                0.89142,                0.93785,                 0.6495,                 1.1244,                0.71821,                 1.7736,               0.007228,               0.007228,               0.007228
                     30,                0.79944,                0.80073,                 1.3525,                0.89176,                0.86275,                0.93381,                0.64562,                 1.1212,                0.72846,                 1.7726,               0.007129,               0.007129,               0.007129
                     31,                0.77517,                0.78022,                  1.329,                0.88904,                0.87934,                0.94617,                0.66058,                 1.0856,                0.67918,                 1.7472,                0.00703,                0.00703,                0.00703
                     32,                0.76989,                0.76197,                  1.325,                0.89068,                0.87564,                0.94035,                0.65955,                 1.0665,                0.70921,                 1.7108,               0.006931,               0.006931,               0.006931
                     33,                0.75996,                0.75512,                  1.321,                0.92167,                0.88808,                0.95611,                0.67504,                 1.0714,                 0.6372,                 1.7232,               0.006832,               0.006832,               0.006832
                     34,                0.76017,                0.75426,                 1.3131,                0.89274,                0.90397,                0.95505,                0.67879,                 1.0617,                0.66251,                 1.7178,               0.006733,               0.006733,               0.006733
                     35,                0.75587,                0.73899,                 1.3112,                0.91599,                0.87875,                0.94691,                0.68083,                 1.0244,                0.65586,                 1.6844,               0.006634,               0.006634,               0.006634
                     36,                0.74423,                0.72657,                  1.308,                0.90643,                0.91311,                0.96418,                0.69406,                 1.0183,                 0.6197,                 1.6683,               0.006535,               0.006535,               0.006535
                     37,                 0.7448,                0.72883,                 1.3037,                0.91906,                0.89591,                0.95849,                0.69355,                 1.0161,                0.63319,                 1.6688,               0.006436,               0.006436,               0.006436
                     38,                0.73121,                0.71141,                 1.2883,                0.91184,                0.91231,                0.96162,                0.70598,                0.99816,                0.59279,                 1.6411,               0.006337,               0.006337,               0.006337
                     39,                0.72179,                0.70655,                 1.2846,                0.92012,                0.90428,                0.96597,                  0.703,                 1.0139,                0.59781,                 1.6667,               0.006238,               0.006238,               0.006238
                     40,                0.71486,                0.68349,                 1.2797,                0.92892,                0.91233,                0.96602,                0.70795,                0.98208,                 0.5956,                 1.6306,               0.006139,               0.006139,               0.006139
                     41,                0.70856,                0.67335,                 1.2744,                0.92414,                0.92469,                0.96774,                0.71506,                 0.9716,                 0.5848,                 1.6055,                0.00604,                0.00604,                0.00604
                     42,                0.70601,                0.67907,                 1.2746,                0.92651,                0.93068,                0.97011,                0.72273,                0.96012,                0.54526,                 1.6138,               0.005941,               0.005941,               0.005941
                     43,                 0.6871,                0.67299,                 1.2587,                0.93688,                0.90884,                0.96647,                0.71731,                0.96572,                0.58175,                 1.6245,               0.005842,               0.005842,               0.005842
                     44,                0.68197,                 0.6563,                 1.2471,                 0.9291,                0.91516,                0.96765,                0.72675,                0.93057,                0.55619,                 1.5727,               0.005743,               0.005743,               0.005743
                     45,                0.68468,                0.66628,                 1.2581,                0.93872,                0.93172,                0.97358,                0.73299,                0.92957,                0.54245,                 1.5757,               0.005644,               0.005644,               0.005644
                     46,                0.66984,                 0.6398,                 1.2453,                 0.9396,                0.92907,                0.97271,                0.73011,                0.93334,                  0.536,                 1.5853,               0.005545,               0.005545,               0.005545
                     47,                0.68021,                0.65154,                 1.2495,                0.94203,                 0.9209,                 0.9721,                 0.7382,                0.91281,                0.52885,                 1.5594,               0.005446,               0.005446,               0.005446
                     48,                0.65791,                0.63432,                 1.2363,                0.92761,                0.94135,                0.97592,                0.74258,                0.90144,                0.53728,                 1.5318,               0.005347,               0.005347,               0.005347
                     49,                0.65259,                0.63552,                 1.2299,                0.94532,                0.92785,                0.97606,                0.74203,                0.90626,                0.53543,                  1.545,               0.005248,               0.005248,               0.005248
                     50,                0.65507,                0.62966,                 1.2317,                0.95495,                0.92878,                0.97925,                0.74884,                0.89279,                0.51543,                 1.5428,               0.005149,               0.005149,               0.005149
                     51,                0.64702,                0.61824,                 1.2236,                0.94533,                0.93899,                0.97902,                0.74909,                0.88111,                0.49816,                 1.5248,                0.00505,                0.00505,                0.00505
                     52,                0.64069,                 0.6102,                 1.2207,                0.95283,                0.94499,                0.97997,                0.75389,                0.87184,                0.49908,                 1.5096,               0.004951,               0.004951,               0.004951
                     53,                0.64185,                0.61117,                 1.2234,                0.96093,                0.94708,                0.98233,                0.75992,                0.85885,                0.48736,                 1.4982,               0.004852,               0.004852,               0.004852
